Fwd IAT Max,Fwd IAT Min,Protocol,Flow IAT Max,Fwd IAT Mean,Idle Max,Active Max,Idle Min,Average Packet Size,Min Packet Length,SYN Flag Count,Bwd IAT Min,Flow Duration,Fwd Packet Length Mean,Idle Mean,Fwd URG Flags,Subflow Fwd Bytes,Fwd PSH Flags,Fwd Header Length.1,Max Packet Length,Total Length of Fwd Packets,Flow ID,Bwd PSH Flags,Bwd Packets/s,Fwd IAT Total,Avg Bwd Segment Size,Fwd Avg Packets/Bulk,Fwd Packet Length Min,Flow Bytes/s,Idle Std,URG Flag Count,Packet Length Std,Packet Length Variance,act_data_pkt_fwd,Packet Length Mean,Fwd IAT Std,ACK Flag Count,Bwd Header Length,Down/Up Ratio,Flow IAT Std,Flow Packets/s,Fwd Packets/s,RST Flag Count,Fwd Header Length,Subflow Bwd Packets,Init_Win_bytes_forward,CWE Flag Count,Total Fwd Packets,Bwd Avg Bytes/Bulk,Label,Bwd Avg Packets/Bulk,Subflow Bwd Bytes,Bwd URG Flags,Fwd Packet Length Std,Bwd IAT Total,Subflow Fwd Packets,Timestamp,Total Backward Packets,Bwd Avg Bulk Rate,Active Std,Bwd Packet Length Mean,PSH Flag Count,Source Port,Destination IP,Fwd Packet Length Max,FIN Flag Count,Flow IAT Min,Source IP,Bwd IAT Mean,Total Length of Bwd Packets,Bwd Packet Length Max,Active Min,Bwd Packet Length Std,Destination Port,Init_Win_bytes_backward,ECE Flag Count,Bwd IAT Max,Fwd Avg Bytes/Bulk,Flow IAT Mean,Bwd IAT Std,min_seg_size_forward,Active Mean,Fwd Avg Bulk Rate,Bwd Packet Length Min,Avg Fwd Segment Size
805616.0,493.0,6,9993979.0,270417.6,0.0,0.0,0.0,622.6,0.0,0,11.0,11346067,124.0,0.0,0,744,0,140,1460.0,744.0,10.42.0.42-121.12.98.63-37102-80-6,0,0.7932264105262202,1352088.0,955.0,0,0.0,823.1046053227079,0.0,0,690.9286233034495,477382.3625000001,2,583.6875,328591.3924280428,0,192,1.0,2652667.723350926,1.3220440175437005,0.5288176070174802,0,140,9,65535,0,6,0,BENIGN,0,8595,0,192.0999739718879,11078381.0,6,22/06/2017 11:21:37,9,0,0.0,955.0,1,37102,121.12.98.63,372.0,0,11.0,10.42.0.42,1384797.625,8595.0,1460.0,0.0,718.2269836200809,80,511,0,9998021.0,0,810433.3571428572,3500662.602699133,20,0.0,0,0.0,124.0
0.0,0.0,17,406031.0,0.0,0.0,0.0,0.0,84.0,26.0,0,0.0,406031,26.0,0.0,0,26,0,32,116.0,26.0,10.42.0.1-10.42.0.42-53-29449-17,0,2.462866135836919,0.0,116.0,0,26.0,349.7269912888425,0.0,0,51.96152422706632,2700.0,0,56.0,0.0,0,20,1.0,0.0,4.925732271673838,2.462866135836919,0,32,1,-1,0,1,0,BENIGN,0,116,0,0.0,0.0,1,22/06/2017 11:23:18,1,0,0.0,116.0,0,29449,10.42.0.1,26.0,0,406031.0,10.42.0.42,0.0,116.0,116.0,0.0,0.0,53,-1,0,0.0,0,406031.0,0.0,32,0.0,0,116.0,26.0
16042607.0,990740.0,6,16042607.0,6211575.0,16042607.0,7004805.0,8010463.0,0.0,0.0,0,0.0,31057875,0.0,12026535.0,0,0,0,240,0.0,0.0,10.42.0.42-125.88.193.249-54304-80-6,0,0.0,31057875.0,0.0,0,0.0,0.0,5679583.489866841,0,0.0,0.0,0,0.0,6117409.230876785,0,0,0.0,6117409.230876785,0.1931877180908223,0.1931877180908223,0,240,0,65535,0,6,0,BENIGN,0,0,0,0.0,0.0,6,22/06/2017 11:21:38,0,0,0.0,0.0,1,54304,125.88.193.249,0.0,0,990740.0,10.42.0.42,0.0,0.0,0.0,7004805.0,0.0,80,-1,0,0.0,0,6211575.0,0.0,40,7004805.0,0,0.0,0.0
14949232.0,14949232.0,6,14949232.0,14949232.0,0.0,0.0,0.0,0.0,0.0,0,0.0,14949232,0.0,0.0,0,0,0,64,0.0,0.0,10.42.0.42-103.7.30.118-54181-80-6,0,0.0,14949232.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0,0.0,0.0,0.1337861369734579,0.1337861369734579,0,64,0,1386,0,2,0,BENIGN,0,0,0,0.0,0.0,2,22/06/2017 11:23:48,0,0,0.0,0.0,0,54181,103.7.30.118,0.0,0,14949232.0,10.42.0.42,0.0,0.0,0.0,0.0,0.0,80,-1,0,0.0,0,14949232.0,0.0,32,0.0,0,0.0,0.0
0.0,0.0,6,36507.0,0.0,0.0,0.0,0.0,23.0,0.0,1,0.0,36507,23.0,0.0,0,23,1,32,23.0,23.0,172.217.12.174-10.42.0.42-443-35188-6,0,27.3920070123538,0.0,0.0,0,23.0,630.0161612841373,0.0,0,13.279056191361391,176.33333333333334,0,15.333333333333332,0.0,1,32,1.0,0.0,54.784014024707595,27.3920070123538,0,32,1,1419,0,1,0,BENIGN,0,0,0,0.0,0.0,1,22/06/2017 11:20:28,1,0,0.0,0.0,0,35188,172.217.12.174,23.0,0,36507.0,10.42.0.42,0.0,0.0,0.0,0.0,0.0,443,468,0,0.0,0,36507.0,0.0,32,0.0,0,0.0,23.0
3683828.0,3683828.0,6,3683828.0,3683828.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3683828,0.0,0.0,0,0,0,64,0.0,0.0,10.42.0.42-31.13.71.1-59744-443-6,0,0.0,3683828.0,0.0,0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,1,0,0.0,0.0,0.5429135127915853,0.5429135127915853,0,64,0,1547,0,2,0,BENIGN,0,0,0,0.0,0.0,2,22/06/2017 11:20:47,0,0,0.0,0.0,0,59744,31.13.71.1,0.0,0,3683828.0,10.42.0.42,0.0,0.0,0.0,0.0,0.0,443,-1,0,0.0,0,3683828.0,0.0,32,0.0,0,0.0,0.0
208964.0,208964.0,6,208964.0,208964.0,0.0,0.0,0.0,0.0,0.0,0,0.0,224095,0.0,0.0,0,0,0,64,0.0,0.0,192.229.163.180-10.42.0.42-443-47263-6,0,4.462393181463219,208964.0,0.0,0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,1,32,0.0,137060.62871773206,13.387179544389657,8.924786362926438,0,64,1,290,0,2,0,BENIGN,0,0,0,0.0,0.0,2,22/06/2017 11:22:54,1,0,0.0,0.0,0,47263,192.229.163.180,0.0,0,15131.0,10.42.0.42,0.0,0.0,0.0,0.0,0.0,443,290,0,0.0,0,112047.5,0.0,32,0.0,0,0.0,0.0
999331.0,267298.0,6,4252011.0,551994.0,0.0,0.0,0.0,0.0,0.0,0,401467.0,5907993,0.0,0.0,0,0,0,132,0.0,0.0,183.56.172.140-10.42.0.42-80-49757-6,0,0.507786654452705,1655982.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,392182.5460585925,0,84,0.0,1641652.348454538,1.1848355270563116,0.6770488726036067,0,132,3,65535,0,4,0,BENIGN,0,0,0,0.0,4655557.0,4,22/06/2017 11:21:37,3,0,0.0,0.0,1,49757,183.56.172.140,0.0,0,2079.0,10.42.0.42,2327778.5,0.0,0.0,0.0,0.0,80,183,0,4254090.0,0,984665.5,2724215.84865526,20,0.0,0,0.0,0.0
0.0,0.0,6,242670.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,242670,0.0,0.0,0,0,0,20,0.0,0.0,10.42.0.42-125.88.193.226-58878-80-6,0,4.120822516174228,0.0,0.0,0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,1,20,1.0,0.0,8.241645032348456,4.120822516174228,0,20,1,1386,0,1,0,BENIGN,0,0,0,0.0,0.0,1,22/06/2017 11:22:42,1,0,0.0,0.0,0,58878,125.88.193.226,0.0,0,242670.0,10.42.0.42,0.0,0.0,0.0,0.0,0.0,80,31,0,0.0,0,242670.0,0.0,20,0.0,0,0.0,0.0
47080311.0,997162.0,6,47080311.0,16495077.0,0.0,0.0,0.0,0.0,0.0,0,0.0,49485231,0.0,0.0,0,0,0,120,0.0,0.0,10.42.0.42-121.12.98.63-37116-80-6,0,0.0202080495491675,49485231.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,26488385.216824204,0,32,0.0,23146646.678405453,0.1010402477458375,0.08083219819667,0,120,1,65535,0,4,0,BENIGN,0,0,0,0.0,0.0,4,22/06/2017 11:21:39,1,0,0.0,0.0,1,37116,121.12.98.63,0.0,0,11827.0,10.42.0.42,0.0,0.0,0.0,0.0,0.0,80,64240,0,0.0,0,12371307.75,0.0,20,0.0,0,0.0,0.0
