Bwd Avg Bulk Rate,Down/Up Ratio,Max Packet Length,Flow Duration,Packet Length Mean,Bwd Avg Bytes/Bulk,Fwd Packet Length Min,Init_Win_bytes_backward,Fwd Packet Length Std,Fwd IAT Total,Packet Length Variance,ECE Flag Count,Flow IAT Min,Total Fwd Packets,Destination IP,Active Min,Bwd IAT Std,Fwd Header Length,Fwd PSH Flags,Fwd URG Flags,Fwd Packets/s,Subflow Bwd Bytes,Bwd IAT Total,URG Flag Count,Bwd IAT Max,Bwd IAT Mean,Bwd Packets/s,RST Flag Count,Bwd PSH Flags,Total Backward Packets,Flow IAT Std,Min Packet Length,SYN Flag Count,Flow IAT Mean,Fwd IAT Mean,Fwd IAT Min,Idle Min,Subflow Fwd Packets,Destination Port,Protocol,PSH Flag Count,Init_Win_bytes_forward,Fwd Avg Bytes/Bulk,Flow IAT Max,Average Packet Size,Flow Packets/s,Total Length of Fwd Packets,Fwd Header Length.1,act_data_pkt_fwd,Active Max,Total Length of Bwd Packets,Timestamp,CWE Flag Count,Idle Max,Bwd Packet Length Mean,Fwd IAT Max,FIN Flag Count,Bwd Avg Packets/Bulk,Subflow Bwd Packets,Bwd Packet Length Min,Subflow Fwd Bytes,Source IP,Packet Length Std,Label,Fwd Avg Bulk Rate,Idle Mean,Bwd URG Flags,Bwd Packet Length Max,Bwd Packet Length Std,Active Mean,Source Port,Bwd IAT Min,Avg Fwd Segment Size,Fwd Packet Length Mean,Fwd Packet Length Max,min_seg_size_forward,Flow ID,Flow Bytes/s,ACK Flag Count,Bwd Header Length,Active Std,Idle Std,Fwd IAT Std,Fwd Avg Packets/Bulk,Avg Bwd Segment Size
0,1.0,116.0,406031,56.0,0,26.0,-1,0.0,0.0,2700.0,0,406031.0,1,10.42.0.1,0.0,0.0,32,0,0,2.462866135836919,116,0.0,0,0.0,0.0,2.462866135836919,0,0,1,0.0,26.0,0,406031.0,0.0,0.0,0.0,1,53,17,0,-1,0,406031.0,84.0,4.925732271673838,26.0,32,0,0.0,116.0,22/06/2017 11:23:18,0,0.0,116.0,0.0,0,0,1,116.0,26,10.42.0.42,51.96152422706632,BENIGN,0,0.0,0,116.0,0.0,0.0,29449,0.0,26.0,26.0,26.0,32,10.42.0.1-10.42.0.42-53-29449-17,349.7269912888425,0,20,0.0,0.0,0.0,0,116.0
0,0.0,1350.0,3286291,687.0322580645162,0,38.0,-1,611.8280180608032,3286291.0,415205.2989247312,0,6.0,20,172.217.6.195,0.0,1010321.321279275,544,0,0,6.085888316037746,1917,3205572.0,0,3049084.0,356174.6666666667,3.042944158018873,0,0,10,551688.5191300311,30.0,0,113320.37931034486,172962.68421052632,6.0,0.0,20,443,17,0,-1,0,2979661.0,709.9333333333333,9.12883247405662,18031.0,544,19,0.0,1917.0,22/06/2017 11:23:15,0,0.0,191.69999999999996,2979661.0,0,0,10,30.0,18031,10.42.0.42,644.3642595029082,BENIGN,0,0.0,0,1350.0,412.36419986867594,0.0,36012,22.0,901.55,901.55,1350.0,20,172.217.6.195-10.42.0.42-443-36012-17,6070.065006416048,0,284,0.0,0.0,680948.0044813384,0,191.7
0,1.0,0.0,229171,0.0,0,0.0,292,0.0,0.0,0.0,0,229171.0,1,192.229.163.180,0.0,0.0,32,0,0,4.363553852799874,0,0.0,1,0.0,0.0,4.363553852799874,0,0,1,0.0,0.0,0,229171.0,0.0,0.0,0.0,1,443,6,0,292,0,229171.0,0.0,8.727107705599748,0.0,32,0,0.0,0.0,22/06/2017 11:22:55,0,0.0,0.0,0.0,0,0,1,0.0,0,10.42.0.42,0.0,BENIGN,0,0.0,0,0.0,0.0,0.0,47262,0.0,0.0,0.0,0.0,32,192.229.163.180-10.42.0.42-443-47262-6,0.0,1,32,0.0,0.0,0.0,0,0.0
0,0.0,1418.0,628165,418.3999999999999,0,0.0,390,123.97070337026264,628165.0,259592.11034482755,0,12.0,17,172.217.10.80,0.0,47196.83032230795,552,0,0,27.062953204970032,10680,589022.0,0,133439.0,53547.45454545455,19.1032610858612,0,0,12,19184.208790685196,0.0,0,22434.46428571428,39260.3125,1360.0,0.0,17,443,6,1,65535,0,54060.0,432.82758620689657,46.166214290831235,1872.0,552,8,0.0,10680.0,22/06/2017 11:20:08,0,0.0,890.0,82214.0,0,0,12,0.0,1872,10.42.0.42,509.50182565406726,BENIGN,0,0.0,0,1418.0,506.5649020609304,0.0,51745,12.0,110.11764705882354,110.11764705882352,260.0,32,172.217.10.80-10.42.0.42-443-51745-6,19982.011095810816,0,392,0.0,0.0,23876.982552851325,0,890.0
0,0.0,0.0,22299686,0.0,0,0.0,-1,0.0,22299686.0,0.0,0,22299686.0,2,220.243.235.201,0.0,0.0,40,0,0,0.0896873615171083,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,22299686.0,22299686.0,22299686.0,0.0,2,80,6,0,1506,0,22299686.0,0.0,0.0896873615171083,0.0,40,0,0.0,0.0,22/06/2017 11:22:06,0,0.0,0.0,22299686.0,0,0,0,0.0,0,10.42.0.42,0.0,BENIGN,0,0.0,0,0.0,0.0,0.0,59095,0.0,0.0,0.0,0.0,20,220.243.235.201-10.42.0.42-80-59095-6,0.0,1,0,0.0,0.0,0.0,0,0.0
0,0.0,0.0,21732688,0.0,0,0.0,112,0.0,1431775.0,0.0,0,188802.0,3,14.17.42.57,0.0,0.0,112,0,0,0.1380409086993748,0,20489715.0,0,20489715.0,20489715.0,0.0920272724662499,0,0,2,9918829.544049742,0.0,0,5433172.0,715887.5,428343.0,0.0,3,80,6,1,65535,0,20300913.0,0.0,0.2300681811656248,0.0,112,0,0.0,0.0,22/06/2017 11:24:24,0,0.0,0.0,1003432.0,0,0,2,0.0,0,10.42.0.42,0.0,BENIGN,0,0.0,0,0.0,0.0,0.0,36246,20489715.0,0.0,0.0,0.0,32,10.42.0.42-14.17.42.57-36246-80-6,0.0,0,72,0.0,0.0,406649.3316857904,0,0.0
0,0.0,0.0,812242,0.0,0,0.0,-1,0.0,812242.0,0.0,0,812242.0,2,34.199.147.230,0.0,0.0,64,0,0,2.462320342951977,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,812242.0,812242.0,812242.0,0.0,2,443,6,0,1505,0,812242.0,0.0,2.462320342951977,0.0,64,0,0.0,0.0,28/08/2017 11:06:46,0,0.0,0.0,812242.0,0,0,0,0.0,0,10.42.0.151,0.0,RANSOMWARE_SIMPLOCKER,0,0.0,0,0.0,0.0,0.0,60405,0.0,0.0,0.0,0.0,32,10.42.0.151-34.199.147.230-60405-443-6,0.0,1,0,0.0,0.0,0.0,0,0.0
0,1.0,1368.0,132738,355.6363636363637,0,0.0,409,588.0690435654643,132738.0,281958.45454545453,0,8.0,5,172.217.6.228,0.0,28318.183810642473,160,0,0,37.66818846148051,843,92938.0,0,57660.0,23234.5,37.66818846148051,0,0,5,17629.424685734924,0.0,0,14748.666666666666,33184.5,87.0,0.0,5,443,6,0,1548,0,37444.0,391.2,75.33637692296102,1701.0,160,2,0.0,843.0,22/06/2017 11:22:38,0,0.0,168.6,74486.0,0,0,5,0.0,1701,10.42.0.42,530.997603144736,BENIGN,0,0.0,0,585.0,242.53824440693884,0.0,51291,8.0,340.2,340.2,1368.0,32,172.217.6.228-10.42.0.42-443-51291-6,19165.57428920129,1,160,0.0,0.0,38798.30477825889,0,168.6
0,1.0,31.0,23,20.666666666666664,0,31.0,86,0.0,0.0,320.33333333333337,0,23.0,1,104.244.43.195,0.0,0.0,32,1,0,43478.260869565216,0,0.0,0,0.0,0.0,43478.260869565216,0,0,1,0.0,0.0,1,23.0,0.0,0.0,0.0,1,443,6,0,86,0,23.0,31.0,86956.52173913043,31.0,32,0,0.0,0.0,28/08/2017 10:58:34,0,0.0,0.0,0.0,0,0,1,0.0,31,10.42.0.151,17.8978583448784,RANSOMWARE_SIMPLOCKER,0,0.0,0,0.0,0.0,0.0,56891,0.0,31.0,31.0,31.0,32,10.42.0.151-104.244.43.195-56891-443-6,1347826.0869565215,1,32,0.0,0.0,0.0,0,0.0
0,1.0,54.0,156070,43.333333333333336,0,38.0,-1,0.0,0.0,85.33333333333333,0,156070.0,1,10.42.0.1,0.0,0.0,32,0,0,6.407381303261357,54,0.0,0,0.0,0.0,6.407381303261357,0,0,1,0.0,38.0,0,156070.0,0.0,0.0,0.0,1,53,17,0,-1,0,156070.0,65.0,12.814762606522716,38.0,32,0,0.0,54.0,28/08/2017 11:14:14,0,0.0,54.0,0.0,0,0,1,54.0,38,10.42.0.151,9.237604307034012,RANSOMWARE_SIMPLOCKER,0,0.0,0,54.0,0.0,0.0,14356,0.0,38.0,38.0,38.0,32,10.42.0.151-10.42.0.1-14356-53-17,589.4790799000449,0,32,0.0,0.0,0.0,0,54.0
